,Shape,Price,Carat,CutGrade,Color,Clarity,report
0,Princess,"$3,840",1.76,Very Good,F,VS1,GIA
1,Princess,"$3,260",1.69,Very Good,G,VS1,GIA
2,Princess,"$4,600",1.76,Very Good,E,VVS2,GIA
3,Princess,"$6,990",2.82,Very Good,G,VS2,GIA
4,Princess,"$3,310",1.51,Very Good,F,VVS2,GIA
5,Princess,"$3,390",1.75,Very Good,F,VS2,GIA
6,Princess,"$4,210",1.73,Very Good,E,VS1,GIA
7,Princess,"$3,790",2.16,Very Good,H,VS1,GIA
8,Princess,"$5,580",2.32,Very Good,E,VS2,GIA
9,Princess,"$5,290",2.29,Very Good,G,VVS2,GIA
10,Princess,"$5,740",3.16,Very Good,I,VS2,GIA
11,Princess,"$3,450",1.88,Very Good,H,VVS2,GIA
12,Princess,"$7,050",3.08,Very Good,G,SI1,GIA
13,Princess,"$3,300",2.02,Very Good,I,VVS2,GIA
14,Princess,"$3,040",1.72,Very Good,F,SI1,GIA
15,Princess,"$2,010",1.72,Very Good,J,VS1,GIA
16,Princess,"$3,200",1.82,Very Good,H,VS1,GIA
17,Princess,"$3,380",1.50,Very Good,D,VS2,GIA
18,Princess,"$3,390",1.65,Very Good,G,VVS2,GIA
19,Princess,"$3,530",2.01,Very Good,H,VS1,GIA
20,Princess,"$3,550",2.02,Very Good,H,VS1,GIA
21,Princess,"$3,550",1.74,Very Good,G,VS1,GIA
22,Princess,"$3,700",1.81,Very Good,G,VS1,GIA
23,Princess,"$3,750",1.72,Very Good,G,VVS2,GIA
24,Princess,"$3,810",1.75,Very Good,G,VVS2,GIA
25,Princess,"$3,960",1.81,Very Good,F,VS1,GIA
26,Princess,"$4,020",2.29,Very Good,H,VS1,GIA
27,Princess,"$4,070",1.87,Very Good,G,VVS2,GIA
28,Princess,"$4,210",1.93,Very Good,G,VVS2,GIA
29,Princess,"$4,260",2.34,Very Good,H,VS1,GIA
30,Princess,"$4,300",1.96,Very Good,F,VS1,GIA
31,Princess,"$4,460",2.67,Very Good,I,VVS2,GIA
32,Princess,"$4,480",2.11,Very Good,F,VS2,GIA
33,Princess,"$4,490",2.47,Very Good,H,VS1,GIA
34,Princess,"$4,570",2.01,Very Good,E,VS2,GIA
35,Princess,"$4,660",1.78,Very Good,E,VVS2,GIA
36,Princess,"$4,790",2.22,Very Good,G,VS1,GIA
37,Princess,"$4,810",1.84,Very Good,E,VVS2,GIA
38,Princess,"$4,820",2.04,Very Good,F,VS1,GIA
39,Princess,"$4,840",1.85,Very Good,E,VVS2,GIA
40,Princess,"$4,850",2.37,Very Good,H,VVS2,GIA
41,Princess,"$4,930",2.09,Very Good,F,VS1,GIA
42,Princess,"$4,930",2.62,Very Good,H,VS2,GIA
43,Princess,"$4,950",2.14,Very Good,G,VVS2,GIA
44,Princess,"$5,170",2.30,Very Good,G,VS1,GIA
45,Princess,"$5,270",2.02,Very Good,E,VS1,GIA
46,Princess,"$5,500",2.47,Very Good,F,VS2,GIA
47,Princess,"$5,660",2.09,Very Good,F,VVS2,GIA
48,Princess,"$5,720",2.00,Very Good,E,VVS2,GIA
49,Princess,"$5,780",3.42,Very Good,J,VS1,GIA
50,Princess,"$5,980",2.21,Very Good,F,VVS2,GIA
51,Princess,"$6,140",2.77,Very Good,H,VVS2,GIA
52,Princess,"$6,240",3.01,Very Good,H,SI1,GIA
53,Princess,"$6,500",2.28,Very Good,E,VVS2,GIA
54,Princess,"$6,760",2.52,Very Good,F,VS2,GIA
55,Princess,"$6,840",2.53,Very Good,F,VS2,GIA
56,Princess,"$6,840",3.03,Very Good,I,VVS2,GIA
57,Princess,"$6,860",2.56,Very Good,G,VVS2,GIA
58,Princess,"$7,020",2.60,Very Good,G,VVS2,GIA
59,Princess,"$7,190",2.66,Very Good,F,VS2,GIA
60,Princess,"$7,190",2.50,Very Good,F,VS1,GIA
61,Princess,"$7,330",3.25,Very Good,I,VVS2,GIA
62,Princess,"$7,400",2.55,Very Good,F,VS1,GIA
63,Princess,"$7,680",3.04,Very Good,H,VS1,GIA
64,Princess,"$7,990",3.01,Very Good,G,VS2,GIA
65,Princess,"$8,390",2.58,Very Good,E,VS1,GIA
66,Princess,"$9,110",3.01,Very Good,F,VS2,GIA
67,Princess,"$9,380",3.10,Very Good,F,VS2,GIA
68,Princess,"$9,470",3.11,Very Good,G,VS1,GIA
69,Princess,"$9,620",3.18,Very Good,F,VS2,GIA
70,Princess,"$10,210",3.04,Very Good,E,VS2,GIA
71,Princess,"$10,240",3.06,Very Good,G,VVS2,GIA
72,Princess,"$10,740",3.04,Very Good,F,VS1,GIA
73,Princess,"$11,350",3.40,Very Good,G,VVS2,GIA
74,Princess,"$11,570",3.02,Very Good,F,VVS2,GIA
75,Princess,"$11,860",4.01,Very Good,G,SI1,GIA
76,Princess,"$11,930",4.01,Very Good,H,VS1,GIA
77,Princess,"$11,980",3.59,Very Good,F,VS2,GIA
78,Princess,"$14,440",4.05,Very Good,G,VS1,GIA
79,Princess,"$14,720",4.13,Very Good,G,VS1,GIA
